,champion,patch,games,dmgtaken/min,dmgdealt/min,Class,color,season,patchnum,internal
750,Kayn,8.06,129825,2179.941159,554.7180461,Assassin,#ED2941,8,6,6
751,Kennen,8.06,20993,1116.411444,651.7441064,Specialist,#EB8596,8,6,6
752,Kha'Zix,8.06,127825,1881.72705,556.7345173,Assassin,#ED2941,8,6,6
753,Kindred,8.06,39252,1596.81199,616.4687342,Marksman,#0D1F22,8,6,6
754,Kled,8.06,48455,2233.794233,633.1897751,Fighter,#664A40,8,6,6
755,Kog'Maw,8.06,37842,1042.639454,761.0494947,Marksman,#0D1F22,8,6,6
756,LeBlanc,8.06,34533,1136.949196,654.9356556,Mage,#25BAA4,8,6,6
757,Lee Sin,8.06,126779,2007.830678,473.9562153,Fighter,#664A40,8,6,6
758,Leona,8.06,139404,1750.593501,244.804058,Tank,#393663,8,6,6
759,Lissandra,8.06,21326,1088.077388,632.8877221,Mage,#25BAA4,8,6,6
760,Lucian,8.06,113365,1048.801913,673.2412612,Marksman,#0D1F22,8,6,6
761,Lulu,8.06,132737,804.4346023,240.6406781,Support,#FFB733,8,6,6
762,Lux,8.06,212481,766.4866401,673.8864029,Mage,#25BAA4,8,6,6
763,Malphite,8.06,78564,1958.636102,521.8221173,Tank,#393663,8,6,6
764,Malzahar,8.06,67373,898.9014674,661.4133636,Mage,#25BAA4,8,6,6
765,Maokai,8.06,51803,2556.822357,496.3197407,Tank,#393663,8,6,6
766,Master Yi,8.06,211510,1807.294563,610.8352758,Assassin,#ED2941,8,6,6
767,Miss Fortune,8.06,234959,931.3528299,719.5972689,Marksman,#0D1F22,8,6,6
768,Mordekaiser,8.06,21033,2012.893765,674.1731741,Fighter,#664A40,8,6,6
769,Morgana,8.06,214304,1060.745473,468.4340193,Support,#FFB733,8,6,6
770,Nami,8.06,174924,1106.57938,309.311127,Support,#FFB733,8,6,6
771,Nasus,8.06,124068,2249.365345,582.8643744,Fighter,#664A40,8,6,6
772,Nautilus,8.06,55240,1974.874328,350.3151068,Tank,#393663,8,6,6
773,Nidalee,8.06,33800,1779.704649,554.9216321,Specialist,#EB8596,8,6,6
774,Nocturne,8.06,64045,1898.279839,540.9608803,Assassin,#ED2941,8,6,6
775,Nunu,8.06,52597,2557.048205,346.778328,Tank,#393663,8,6,6
776,Olaf,8.06,82242,2308.800852,542.6471882,Fighter,#664A40,8,6,6
777,Orianna,8.06,84165,938.8934773,640.8287563,Mage,#25BAA4,8,6,6
778,Ornn,8.06,44208,2159.375702,526.7386337,Tank,#393663,8,6,6
779,Pantheon,8.06,57972,1353.691081,615.1587911,Fighter,#664A40,8,6,6
780,Poppy,8.06,34523,2183.113,501.4833561,Tank,#393663,8,6,6
781,Quinn,8.06,38885,1157.162605,701.4448826,Specialist,#EB8596,8,6,6
782,Rakan,8.06,110486,1411.890216,257.3759566,Support,#FFB733,8,6,6
783,Rammus,8.06,50443,2623.408816,446.9802331,Tank,#393663,8,6,6
784,Rek'Sai,8.06,19074,2129.504098,472.0916874,Fighter,#664A40,8,6,6
785,Renekton,8.06,99295,2123.967733,599.40153,Fighter,#664A40,8,6,6
786,Rengar,8.06,79831,1839.223673,563.091263,Fighter,#664A40,8,6,6
787,Riven,8.06,109925,1718.666644,541.3240906,Assassin,#ED2941,8,6,6
788,Rumble,8.06,18021,1465.19994,690.5850545,Mage,#25BAA4,8,6,6
789,Ryze,8.06,76561,1309.280928,637.7531849,Mage,#25BAA4,8,6,6
790,Sejuani,8.06,84539,2372.128858,386.7718911,Tank,#393663,8,6,6
791,Shaco,8.06,109836,1447.166282,520.0879808,Assassin,#ED2941,8,6,6
792,Shen,8.06,81129,2034.880001,381.6706967,Tank,#393663,8,6,6
793,Shyvana,8.06,76743,2251.049298,537.2570303,Fighter,#664A40,8,6,6
794,Singed,8.06,68167,2056.660703,645.1541146,Specialist,#EB8596,8,6,6
795,Sion,8.06,119607,2743.714065,528.4728489,Tank,#393663,8,6,6
796,Sivir,8.06,66168,987.5337945,645.6377616,Marksman,#0D1F22,8,6,6
797,Skarner,8.06,51507,2325.446771,332.3016087,Fighter,#664A40,8,6,6
798,Sona,8.06,99810,1195.324278,390.2362558,Support,#FFB733,8,6,6
799,Soraka,8.06,113205,1349.622638,241.5005106,Support,#FFB733,8,6,6
800,Swain,8.06,166432,1777.916179,775.6708317,Mage,#25BAA4,8,6,6
801,Syndra,8.06,41756,869.156955,686.9609733,Mage,#25BAA4,8,6,6
802,Tahm Kench,8.06,78665,2209.385201,370.7777436,Support,#FFB733,8,6,6
803,Taliyah,8.06,34043,963.674971,751.0561232,Mage,#25BAA4,8,6,6
804,Talon,8.06,55311,1333.264234,680.0624202,Assassin,#ED2941,8,6,6
805,Taric,8.06,83673,1872.088189,206.6869173,Support,#FFB733,8,6,6
806,Teemo,8.06,116184,1064.499151,803.16955,Specialist,#EB8596,8,6,6
807,Thresh,8.06,224818,1368.29388,265.6281716,Support,#FFB733,8,6,6
808,Tristana,8.06,161728,1035.080188,597.5630586,Marksman,#0D1F22,8,6,6
809,Trundle,8.06,63920,2485.602679,467.6568464,Fighter,#664A40,8,6,6
810,Tryndamere,8.06,127814,3167.391301,575.8686687,Assassin,#ED2941,8,6,6
811,Twisted Fate,8.06,65564,1068.66063,615.1266296,Mage,#25BAA4,8,6,6
812,Twitch,8.06,118320,1031.567007,663.7628427,Marksman,#0D1F22,8,6,6
813,Udyr,8.06,107173,2192.000751,446.3010794,Fighter,#664A40,8,6,6
814,Urgot,8.06,51179,1925.779615,628.6926779,Fighter,#664A40,8,6,6
815,Varus,8.06,142463,1029.415481,622.9785674,Marksman,#0D1F22,8,6,6
816,Vayne,8.06,174030,1067.837252,623.3128823,Marksman,#0D1F22,8,6,6
817,Veigar,8.06,141501,881.9913651,694.8770064,Mage,#25BAA4,8,6,6
818,Vel'Koz,8.06,69208,796.055878,780.0696368,Mage,#25BAA4,8,6,6
819,Vi,8.06,67075,1898.386404,480.2356086,Fighter,#664A40,8,6,6
820,Viktor,8.06,44435,1093.685489,733.2155258,Mage,#25BAA4,8,6,6
821,Vladimir,8.06,71639,2081.920613,717.950478,Mage,#25BAA4,8,6,6
822,Volibear,8.06,86752,2296.861779,479.448822,Fighter,#664A40,8,6,6
823,Warwick,8.06,182936,2652.512871,464.3931037,Fighter,#664A40,8,6,6
824,Wukong,8.06,82182,1561.66581,615.4997947,Fighter,#664A40,8,6,6
825,Xayah,8.06,167628,994.7164295,658.8215519,Marksman,#0D1F22,8,6,6
826,Xerath,8.06,70023,735.0107879,809.4556887,Mage,#25BAA4,8,6,6
827,Xin Zhao,8.06,87644,2138.658593,541.5925307,Fighter,#664A40,8,6,6
828,Yasuo,8.06,222757,1533.211317,658.8434173,Assassin,#ED2941,8,6,6
829,Yorick,8.06,49594,1939.356082,651.2266973,Fighter,#664A40,8,6,6
830,Zac,8.06,77386,3072.494738,398.09724,Tank,#393663,8,6,6
831,Zed,8.06,145090,1234.006951,706.6379097,Assassin,#ED2941,8,6,6
832,Ziggs,8.06,45144,772.0333849,817.4201423,Mage,#25BAA4,8,6,6
833,Zilean,8.06,47257,1018.723796,491.5785624,Specialist,#EB8596,8,6,6
834,Zoe,8.06,59103,890.0984058,733.4662361,Mage,#25BAA4,8,6,6
835,Zyra,8.06,80739,745.9208532,677.3363547,Support,#FFB733,8,6,6
836,Aatrox,8.07,49579,2188.419693,638.7047459,Fighter,#664A40,8,7,7
837,Ahri,8.07,127356,995.7019252,700.3748404,Mage,#25BAA4,8,7,7
838,Akali,8.07,69409,1807.719926,631.7847507,Assassin,#ED2941,8,7,7
839,Alistar,8.07,121788,2185.777108,271.4544907,Tank,#393663,8,7,7
840,Amumu,8.07,51749,2226.280463,461.0665037,Tank,#393663,8,7,7
841,Anivia,8.07,80872,1620.182974,645.5531458,Mage,#25BAA4,8,7,7
842,Annie,8.07,73053,885.4683988,666.0304221,Mage,#25BAA4,8,7,7
843,Ashe,8.07,104700,931.811857,606.3300562,Marksman,#0D1F22,8,7,7
844,Aurelion Sol,8.07,21836,1226.816872,662.2011752,Mage,#25BAA4,8,7,7
845,Azir,8.07,47014,979.9132583,672.7439935,Specialist,#EB8596,8,7,7
846,Bard,8.07,77264,1144.82203,447.8661659,Support,#FFB733,8,7,7
847,Blitzcrank,8.07,131454,1615.788344,317.717648,Support,#FFB733,8,7,7
848,Brand,8.07,159925,876.7139503,766.8214725,Mage,#25BAA4,8,7,7
849,Braum,8.07,117253,1626.711238,235.3574123,Tank,#393663,8,7,7
850,Caitlyn,8.07,321445,959.3821511,661.8135095,Marksman,#0D1F22,8,7,7
851,Camille,8.07,86892,1736.179408,576.2917362,Fighter,#664A40,8,7,7
852,Cassiopeia,8.07,49903,1251.429837,670.7846505,Mage,#25BAA4,8,7,7
853,Cho'Gath,8.07,93203,2481.057941,553.4666447,Specialist,#EB8596,8,7,7
854,Corki,8.07,26043,1132.143448,739.0750901,Marksman,#0D1F22,8,7,7
855,Darius,8.07,156292,2092.020474,586.2338273,Fighter,#664A40,8,7,7
856,Diana,8.07,70469,1541.76762,675.9563589,Fighter,#664A40,8,7,7
857,Dr. Mundo,8.07,46215,2706.371268,631.4521789,Fighter,#664A40,8,7,7
858,Draven,8.07,116176,1189.167,706.0565197,Marksman,#0D1F22,8,7,7
859,Ekko,8.07,125779,1675.092642,652.5203289,Assassin,#ED2941,8,7,7
860,Elise,8.07,23568,1431.464626,518.5195107,Fighter,#664A40,8,7,7
861,Evelynn,8.07,62360,1494.897129,597.1040623,Assassin,#ED2941,8,7,7
862,Ezreal,8.07,248420,961.001974,767.0062356,Marksman,#0D1F22,8,7,7
863,Fiddlesticks,8.07,48317,1371.065681,584.3833836,Specialist,#EB8596,8,7,7
864,Fiora,8.07,93796,2003.046011,624.9105888,Assassin,#ED2941,8,7,7
865,Fizz,8.07,125700,1152.325389,653.4971842,Assassin,#ED2941,8,7,7
866,Galio,8.07,66535,1893.633947,541.660194,Tank,#393663,8,7,7
867,Gangplank,8.07,77532,1440.219956,682.3778707,Specialist,#EB8596,8,7,7
868,Garen,8.07,120726,2325.60047,592.5164907,Fighter,#664A40,8,7,7
869,Gnar,8.07,58251,1652.394596,615.6873539,Specialist,#EB8596,8,7,7
870,Gragas,8.07,46579,2050.989379,497.5954552,Tank,#393663,8,7,7
871,Graves,8.07,46518,1587.559456,630.21489,Specialist,#EB8596,8,7,7
872,Hecarim,8.07,36263,2326.175043,497.5512039,Fighter,#664A40,8,7,7
873,Heimerdinger,8.07,38090,929.9753686,795.9598323,Specialist,#EB8596,8,7,7
874,Illaoi,8.07,71944,2166.052191,768.6938177,Fighter,#664A40,8,7,7
875,Irelia,8.07,245593,1828.239736,630.1597546,Fighter,#664A40,8,7,7
876,Ivern,8.07,14264,1255.195657,284.5279039,Support,#FFB733,8,7,7
877,Janna,8.07,210786,971.8518983,278.1183608,Support,#FFB733,8,7,7
878,Jarvan IV,8.07,79029,1980.906645,469.3209147,Fighter,#664A40,8,7,7
879,Jax,8.07,242546,1801.304656,523.5419727,Assassin,#ED2941,8,7,7
880,Jayce,8.07,32816,1250.408598,709.2182357,Mage,#25BAA4,8,7,7
881,Jhin,8.07,302861,923.6348381,671.9324098,Marksman,#0D1F22,8,7,7
882,Jinx,8.07,206759,992.3403619,643.8553099,Marksman,#0D1F22,8,7,7
883,Kai'Sa,8.07,292222,1301.755421,688.7314006,Marksman,#0D1F22,8,7,7
884,Kalista,8.07,14234,1139.128286,583.6054041,Marksman,#0D1F22,8,7,7
885,Karma,8.07,108159,963.4621251,459.9923189,Support,#FFB733,8,7,7
886,Karthus,8.07,43972,1174.269071,981.7783156,Mage,#25BAA4,8,7,7
887,Kassadin,8.07,41650,1447.669565,630.5438784,Assassin,#ED2941,8,7,7
888,Katarina,8.07,85968,1391.174633,715.1531647,Assassin,#ED2941,8,7,7
889,Kayle,8.07,41314,1406.981575,574.7230662,Specialist,#EB8596,8,7,7
890,Kayn,8.07,177766,2193.158877,566.3121061,Assassin,#ED2941,8,7,7
891,Kennen,8.07,21694,1122.229293,647.3896374,Specialist,#EB8596,8,7,7
892,Kha'Zix,8.07,132250,1869.411983,559.5176587,Assassin,#ED2941,8,7,7
893,Kindred,8.07,40999,1595.008531,614.2635408,Marksman,#0D1F22,8,7,7
894,Kled,8.07,46000,2254.859584,635.3328697,Fighter,#664A40,8,7,7
895,Kog'Maw,8.07,31556,1031.389531,743.5490123,Marksman,#0D1F22,8,7,7
896,LeBlanc,8.07,35765,1135.42983,652.3055095,Mage,#25BAA4,8,7,7
897,Lee Sin,8.07,131690,1996.28424,475.6771029,Fighter,#664A40,8,7,7
898,Leona,8.07,136812,1726.720087,242.4756325,Tank,#393663,8,7,7
899,Lissandra,8.07,22287,1089.994231,626.5016759,Mage,#25BAA4,8,7,7
900,Lucian,8.07,110832,1044.137411,670.04342,Marksman,#0D1F22,8,7,7
901,Lulu,8.07,138460,804.7512864,240.698606,Support,#FFB733,8,7,7
902,Lux,8.07,239075,766.1457933,674.9885214,Mage,#25BAA4,8,7,7
903,Malphite,8.07,123884,1892.869313,556.596151,Tank,#393663,8,7,7
904,Malzahar,8.07,67602,894.3558961,653.9991848,Mage,#25BAA4,8,7,7
905,Maokai,8.07,50189,2570.281502,497.7228943,Tank,#393663,8,7,7
906,Master Yi,8.07,212934,1798.205138,599.3943145,Assassin,#ED2941,8,7,7
907,Miss Fortune,8.07,201458,936.8106752,715.3262025,Marksman,#0D1F22,8,7,7
908,Mordekaiser,8.07,21502,2012.201141,668.8736939,Fighter,#664A40,8,7,7
909,Morgana,8.07,239657,1059.401631,467.7514809,Support,#FFB733,8,7,7
910,Nami,8.07,194311,1115.308781,313.0148154,Support,#FFB733,8,7,7
911,Nasus,8.07,117297,2260.317894,589.3839642,Fighter,#664A40,8,7,7
912,Nautilus,8.07,54739,1947.424993,345.2934329,Tank,#393663,8,7,7
913,Nidalee,8.07,32213,1757.644505,554.2076913,Specialist,#EB8596,8,7,7
914,Nocturne,8.07,69739,1883.756316,553.7655346,Assassin,#ED2941,8,7,7
915,Nunu,8.07,58554,2513.618494,363.2838308,Tank,#393663,8,7,7
916,Olaf,8.07,73570,2314.373149,535.5554907,Fighter,#664A40,8,7,7
917,Orianna,8.07,86259,938.4466012,641.0599056,Mage,#25BAA4,8,7,7
918,Ornn,8.07,50868,2157.015727,526.3328319,Tank,#393663,8,7,7
919,Pantheon,8.07,60090,1352.20479,618.5682434,Fighter,#664A40,8,7,7
920,Poppy,8.07,36633,2186.3869,504.2696121,Tank,#393663,8,7,7
921,Quinn,8.07,40686,1169.455384,707.9592419,Specialist,#EB8596,8,7,7
922,Rakan,8.07,105146,1403.556631,260.5266092,Support,#FFB733,8,7,7
923,Rammus,8.07,48859,2626.619991,447.2391632,Tank,#393663,8,7,7
924,Rek'Sai,8.07,20034,2116.728146,473.918939,Fighter,#664A40,8,7,7
925,Renekton,8.07,95073,2112.316502,600.0152722,Fighter,#664A40,8,7,7
926,Rengar,8.07,85525,1836.50341,580.1252304,Fighter,#664A40,8,7,7
927,Riven,8.07,101149,1723.362362,546.7236475,Assassin,#ED2941,8,7,7
928,Rumble,8.07,28095,1485.400605,703.4249412,Mage,#25BAA4,8,7,7
929,Ryze,8.07,76683,1305.261854,659.3289963,Mage,#25BAA4,8,7,7
930,Sejuani,8.07,68248,2316.745617,375.5442805,Tank,#393663,8,7,7
931,Shaco,8.07,83360,1436.218621,509.7929986,Assassin,#ED2941,8,7,7
932,Shen,8.07,78698,2029.278408,380.0223249,Tank,#393663,8,7,7
933,Shyvana,8.07,73410,2242.076926,539.2122683,Fighter,#664A40,8,7,7
934,Singed,8.07,68882,2037.755441,637.656371,Specialist,#EB8596,8,7,7
935,Sion,8.07,116530,2722.144382,527.2241097,Tank,#393663,8,7,7
936,Sivir,8.07,91772,982.1953216,645.8911732,Marksman,#0D1F22,8,7,7
937,Skarner,8.07,46903,2309.509143,327.0207686,Fighter,#664A40,8,7,7
938,Sona,8.07,110444,1211.699667,399.549432,Support,#FFB733,8,7,7
939,Soraka,8.07,124016,1349.510897,243.7982767,Support,#FFB733,8,7,7
940,Swain,8.07,130737,1757.04162,747.0185869,Mage,#25BAA4,8,7,7
941,Syndra,8.07,38112,869.9726937,681.661927,Mage,#25BAA4,8,7,7
942,Tahm Kench,8.07,77469,2209.369631,377.7294294,Support,#FFB733,8,7,7
943,Taliyah,8.07,41937,961.8209726,746.2531977,Mage,#25BAA4,8,7,7
944,Talon,8.07,56954,1320.922391,679.7228248,Assassin,#ED2941,8,7,7
945,Taric,8.07,74828,1839.211687,201.9223249,Support,#FFB733,8,7,7
946,Teemo,8.07,114065,1061.594157,799.9247466,Specialist,#EB8596,8,7,7
947,Thresh,8.07,218870,1356.184951,264.1697705,Support,#FFB733,8,7,7
948,Tristana,8.07,171047,1035.06766,597.2334354,Marksman,#0D1F22,8,7,7
949,Trundle,8.07,88416,2537.350295,456.2921225,Fighter,#664A40,8,7,7
950,Tryndamere,8.07,133036,3115.189027,580.3356691,Assassin,#ED2941,8,7,7
951,Twisted Fate,8.07,70945,1076.467451,609.9813053,Mage,#25BAA4,8,7,7
952,Twitch,8.07,121722,1047.886923,666.4803442,Marksman,#0D1F22,8,7,7
953,Udyr,8.07,101166,2190.078976,444.7069538,Fighter,#664A40,8,7,7
954,Urgot,8.07,50224,1921.778973,634.4192928,Fighter,#664A40,8,7,7
955,Varus,8.07,169487,1014.346935,607.3635702,Marksman,#0D1F22,8,7,7
956,Vayne,8.07,179653,1068.162376,620.6841336,Marksman,#0D1F22,8,7,7
957,Veigar,8.07,135403,872.4531063,689.2417518,Mage,#25BAA4,8,7,7
958,Vel'Koz,8.07,65837,796.2489833,778.2046117,Mage,#25BAA4,8,7,7
959,Vi,8.07,71917,1883.88241,482.9953178,Fighter,#664A40,8,7,7
960,Viktor,8.07,41065,1104.366685,748.5729165,Mage,#25BAA4,8,7,7
961,Vladimir,8.07,80601,2084.586196,717.180225,Mage,#25BAA4,8,7,7
962,Volibear,8.07,73260,2295.157297,478.3763794,Fighter,#664A40,8,7,7
963,Warwick,8.07,192416,2637.430829,460.245134,Fighter,#664A40,8,7,7
964,Wukong,8.07,100421,1557.529086,616.4088311,Fighter,#664A40,8,7,7
965,Xayah,8.07,161117,992.6731561,656.0168159,Marksman,#0D1F22,8,7,7
966,Xerath,8.07,68226,734.940723,811.9438562,Mage,#25BAA4,8,7,7
967,Xin Zhao,8.07,100184,2135.785097,532.8939055,Fighter,#664A40,8,7,7
968,Yasuo,8.07,238190,1532.058572,663.4219797,Assassin,#ED2941,8,7,7
969,Yorick,8.07,48196,1933.024984,655.3251465,Fighter,#664A40,8,7,7
970,Zac,8.07,73602,3087.995697,400.1434446,Tank,#393663,8,7,7
971,Zed,8.07,158565,1247.72473,721.8691539,Assassin,#ED2941,8,7,7
972,Ziggs,8.07,44735,771.7992592,811.1645824,Mage,#25BAA4,8,7,7
973,Zilean,8.07,48952,1010.520236,490.3349255,Specialist,#EB8596,8,7,7
974,Zoe,8.07,59619,895.7119121,728.2165545,Mage,#25BAA4,8,7,7
975,Zyra,8.07,85487,746.7640984,674.676233,Support,#FFB733,8,7,7
976,Aatrox,8.08,52338,2194.963361,641.4138619,Fighter,#664A40,8,8,8
977,Ahri,8.08,175302,1019.58166,717.2994067,Mage,#25BAA4,8,8,8
978,Akali,8.08,66764,1812.738456,632.2837397,Assassin,#ED2941,8,8,8
979,Alistar,8.08,121891,2192.16293,275.2029181,Tank,#393663,8,8,8
980,Amumu,8.08,49513,2221.864747,461.2467959,Tank,#393663,8,8,8
981,Anivia,8.08,72008,1626.217524,635.3765337,Mage,#25BAA4,8,8,8
982,Annie,8.08,72191,888.2455472,667.8040753,Mage,#25BAA4,8,8,8
983,Ashe,8.08,102557,933.7742924,606.3990063,Marksman,#0D1F22,8,8,8
984,Aurelion Sol,8.08,22601,1244.375171,662.3523762,Mage,#25BAA4,8,8,8
985,Azir,8.08,31254,988.7220662,662.1678498,Specialist,#EB8596,8,8,8
986,Bard,8.08,78713,1148.606975,454.0399845,Support,#FFB733,8,8,8
987,Blitzcrank,8.08,127743,1613.068733,320.5490916,Support,#FFB733,8,8,8
988,Brand,8.08,155632,877.8669401,762.1953921,Mage,#25BAA4,8,8,8
989,Braum,8.08,94875,1615.114002,234.8773565,Tank,#393663,8,8,8
990,Caitlyn,8.08,308266,964.8397082,662.7063281,Marksman,#0D1F22,8,8,8
991,Camille,8.08,85590,1736.482138,584.4632098,Fighter,#664A40,8,8,8
992,Cassiopeia,8.08,45835,1270.424395,664.1966956,Mage,#25BAA4,8,8,8
993,Cho'Gath,8.08,87167,2462.851151,555.1984844,Specialist,#EB8596,8,8,8
994,Corki,8.08,23201,1140.092318,741.2214594,Marksman,#0D1F22,8,8,8
995,Darius,8.08,153780,2089.700821,583.3444628,Fighter,#664A40,8,8,8
996,Diana,8.08,69598,1536.407741,682.61617,Fighter,#664A40,8,8,8
997,Dr. Mundo,8.08,48220,2709.179387,633.7599355,Fighter,#664A40,8,8,8
998,Draven,8.08,115637,1183.807032,708.907882,Marksman,#0D1F22,8,8,8
999,Ekko,8.08,126989,1716.578398,647.646683,Assassin,#ED2941,8,8,8
1000,Elise,8.08,19929,1429.903216,521.1115454,Fighter,#664A40,8,8,8
1001,Evelynn,8.08,61616,1500.853817,602.5204406,Assassin,#ED2941,8,8,8
1002,Ezreal,8.08,257985,962.8927092,768.108129,Marksman,#0D1F22,8,8,8
1003,Fiddlesticks,8.08,49232,1341.219029,583.8801736,Specialist,#EB8596,8,8,8
1004,Fiora,8.08,81297,2003.872685,613.07581,Assassin,#ED2941,8,8,8
1005,Fizz,8.08,123532,1160.947772,658.8428071,Assassin,#ED2941,8,8,8
1006,Galio,8.08,50192,1895.343386,529.7524105,Tank,#393663,8,8,8
1007,Gangplank,8.08,74075,1458.326518,680.949943,Specialist,#EB8596,8,8,8
1008,Garen,8.08,124107,2339.519202,589.1891059,Fighter,#664A40,8,8,8
1009,Gnar,8.08,54280,1658.368694,613.3156265,Specialist,#EB8596,8,8,8
1010,Gragas,8.08,37560,2012.092073,513.8929531,Tank,#393663,8,8,8
1011,Graves,8.08,147222,1655.342626,638.4239958,Specialist,#EB8596,8,8,8
1012,Hecarim,8.08,33071,2325.220765,506.6359998,Fighter,#664A40,8,8,8
1013,Heimerdinger,8.08,39720,934.4304695,791.0668677,Specialist,#EB8596,8,8,8
1014,Illaoi,8.08,67625,2164.905272,763.2780083,Fighter,#664A40,8,8,8
1015,Irelia,8.08,144757,1848.258441,618.8243872,Fighter,#664A40,8,8,8
1016,Ivern,8.08,13512,1247.256488,280.6868496,Support,#FFB733,8,8,8
1017,Janna,8.08,196303,969.019095,266.4075724,Support,#FFB733,8,8,8
1018,Jarvan IV,8.08,70627,1970.407341,470.7671772,Fighter,#664A40,8,8,8
1019,Jax,8.08,224739,1785.385121,529.8314705,Assassin,#ED2941,8,8,8
1020,Jayce,8.08,33177,1260.04114,707.8777134,Mage,#25BAA4,8,8,8
1021,Jhin,8.08,307659,940.2913005,674.9295283,Marksman,#0D1F22,8,8,8
1022,Jinx,8.08,219638,997.1031602,646.9298856,Marksman,#0D1F22,8,8,8
1023,Kai'Sa,8.08,262757,1284.502593,678.3802942,Marksman,#0D1F22,8,8,8
1024,Kalista,8.08,14452,1143.715917,583.1643164,Marksman,#0D1F22,8,8,8
1025,Karma,8.08,105575,961.0184859,452.1811598,Support,#FFB733,8,8,8
1026,Karthus,8.08,40614,1169.599994,971.767075,Mage,#25BAA4,8,8,8
1027,Kassadin,8.08,42613,1486.124073,630.1076673,Assassin,#ED2941,8,8,8
1028,Katarina,8.08,78038,1388.927113,712.799452,Assassin,#ED2941,8,8,8
1029,Kayle,8.08,41152,1411.875269,576.7137968,Specialist,#EB8596,8,8,8
1030,Kayn,8.08,189015,2203.141692,567.5123907,Assassin,#ED2941,8,8,8
1031,Kennen,8.08,23071,1134.348853,651.8593651,Specialist,#EB8596,8,8,8
1032,Kha'Zix,8.08,130377,1862.591503,562.6999751,Assassin,#ED2941,8,8,8
1033,Kindred,8.08,35512,1588.999415,624.9657728,Marksman,#0D1F22,8,8,8
1034,Kled,8.08,43318,2253.132009,632.229312,Fighter,#664A40,8,8,8
1035,Kog'Maw,8.08,30315,1035.194187,750.2831643,Marksman,#0D1F22,8,8,8
1036,LeBlanc,8.08,177053,1019.587576,668.6365941,Mage,#25BAA4,8,8,8
1037,Lee Sin,8.08,125581,1994.777205,480.7034916,Fighter,#664A40,8,8,8
1038,Leona,8.08,127151,1734.215646,244.8323305,Tank,#393663,8,8,8
1039,Lissandra,8.08,29652,1099.168016,638.2245929,Mage,#25BAA4,8,8,8
1040,Lucian,8.08,112185,1048.724403,668.6635027,Marksman,#0D1F22,8,8,8
1041,Lulu,8.08,146715,804.7549569,243.180568,Support,#FFB733,8,8,8
1042,Lux,8.08,215568,765.6571642,666.9887895,Mage,#25BAA4,8,8,8
1043,Malphite,8.08,123462,1920.262216,556.3430177,Tank,#393663,8,8,8
1044,Malzahar,8.08,65287,897.1341456,655.9475339,Mage,#25BAA4,8,8,8
1045,Maokai,8.08,49022,2567.887622,498.7994952,Tank,#393663,8,8,8
1046,Master Yi,8.08,199448,1791.497311,604.2247403,Assassin,#ED2941,8,8,8
1047,Miss Fortune,8.08,206387,945.5348372,717.7814602,Marksman,#0D1F22,8,8,8
1048,Mordekaiser,8.08,20819,2017.237871,667.2168645,Fighter,#664A40,8,8,8
1049,Morgana,8.08,245010,1058.475349,466.9094774,Support,#FFB733,8,8,8
1050,Nami,8.08,203172,1115.599937,313.6220529,Support,#FFB733,8,8,8
1051,Nasus,8.08,121395,2267.441805,584.7046058,Fighter,#664A40,8,8,8
1052,Nautilus,8.08,79843,1986.079825,367.5543529,Tank,#393663,8,8,8
1053,Nidalee,8.08,28980,1741.755454,552.7589668,Specialist,#EB8596,8,8,8
1054,Nocturne,8.08,61675,1879.953464,556.8171401,Assassin,#ED2941,8,8,8
1055,Nunu,8.08,54207,2468.678172,380.7552685,Tank,#393663,8,8,8
1056,Olaf,8.08,52732,2278.137246,543.6741645,Fighter,#664A40,8,8,8
1057,Orianna,8.08,70820,938.1466167,634.6625076,Mage,#25BAA4,8,8,8
1058,Ornn,8.08,49590,2160.136911,539.8136871,Tank,#393663,8,8,8
1059,Pantheon,8.08,57843,1351.814103,618.999783,Fighter,#664A40,8,8,8
1060,Poppy,8.08,36203,2186.459209,502.8112786,Tank,#393663,8,8,8
1061,Quinn,8.08,45547,1171.50373,710.3623976,Specialist,#EB8596,8,8,8
1062,Rakan,8.08,122894,1403.672314,288.1966611,Support,#FFB733,8,8,8
1063,Rammus,8.08,43837,2637.450748,448.7012152,Tank,#393663,8,8,8
1064,Rek'Sai,8.08,18159,2116.994932,475.3475584,Fighter,#664A40,8,8,8
1065,Renekton,8.08,83827,2114.774967,592.4138264,Fighter,#664A40,8,8,8
1066,Rengar,8.08,89535,1834.597499,585.5123174,Fighter,#664A40,8,8,8
1067,Riven,8.08,99289,1727.837444,541.1153409,Assassin,#ED2941,8,8,8
1068,Rumble,8.08,25027,1488.514597,704.9026668,Mage,#25BAA4,8,8,8
1069,Ryze,8.08,61911,1305.315717,646.5201859,Mage,#25BAA4,8,8,8
1070,Sejuani,8.08,54787,2314.961806,377.1445292,Tank,#393663,8,8,8
1071,Shaco,8.08,80817,1436.012379,515.0063736,Assassin,#ED2941,8,8,8
1072,Shen,8.08,71317,2049.754569,393.4962879,Tank,#393663,8,8,8
1073,Shyvana,8.08,63805,2242.960875,542.7971509,Fighter,#664A40,8,8,8
1074,Singed,8.08,78450,2030.362125,636.8722629,Specialist,#EB8596,8,8,8
1075,Sion,8.08,111571,2725.199418,522.6440351,Tank,#393663,8,8,8
